lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UnblendedCost,lineItem/ResourceId,resourceTags/environment,resourceTags/team
7/24/2025,AmazonEC2,us-west-2,96.05,amazonec2-c72972cz3,staging,data
7/24/2025,AmazonCloudFront,ap-southeast-1,71.51,amazoncloudfront-crxdvpls2,staging,engineering
7/24/2025,AmazonDynamoDB,us-west-2,21.63,amazondynamodb-7l5gqobel,production,data
7/24/2025,AmazonEC2,us-east-1,93.35,amazonec2-wwf7ynbxt,development,data
7/24/2025,AmazonDynamoDB,ap-southeast-1,18.77,amazondynamodb-k8fql6pwt,staging,data
7/24/2025,AWSLambda,eu-west-1,19.32,awslambda-pzme5apkj,development,engineering
7/24/2025,AmazonDynamoDB,ap-southeast-1,24.75,amazondynamodb-hc1370utn,development,data
7/24/2025,AWSLambda,us-west-2,103.64,awslambda-036gr6xri,staging,data
7/24/2025,AmazonRDS,us-west-2,107.69,amazonrds-9ibdho98y,production,engineering
7/24/2025,AmazonCloudFront,eu-west-1,10.5,amazoncloudfront-91o24opqz,staging,engineering
7/24/2025,AmazonDynamoDB,us-east-1,29.25,amazondynamodb-4vfpgt2zs,staging,engineering
7/24/2025,AmazonEC2,ap-southeast-1,101.95,amazonec2-f4mzwbp00,staging,data
7/25/2025,AmazonRDS,us-east-1,109.77,amazonrds-cpthcxedi,development,data
7/25/2025,AmazonCloudFront,ap-southeast-1,45.44,amazoncloudfront-fv52tn5ts,production,platform
7/25/2025,AWSLambda,us-west-2,43.32,awslambda-mf2ocozbe,production,platform
7/25/2025,AWSLambda,ap-southeast-1,28.95,awslambda-ee2hs5ogo,staging,platform
7/25/2025,AmazonEC2,eu-west-1,91.4,amazonec2-px4tx451f,staging,platform
7/25/2025,AmazonS3,ap-southeast-1,21000.4,amazons3-y9a2f9k89,staging,data
7/25/2025,AmazonEC2,eu-west-1,12.77,amazonec2-mpe0pnwbb,staging,engineering
7/25/2025,AmazonRDS,ap-southeast-1,41.31,amazonrds-hubwarvsl,staging,platform
7/25/2025,AmazonRDS,eu-west-1,94.88,amazonrds-lz7ax5rk1,production,platform
7/25/2025,AmazonCloudFront,eu-west-1,73.34,amazoncloudfront-4pdya9dmf,development,platform
7/25/2025,AmazonEC2,eu-west-1,102.23,amazonec2-t8nlj2au8,production,engineering
7/25/2025,AmazonRDS,ap-southeast-1,73.62,amazonrds-l0gsp02vs,staging,data
7/25/2025,AWSLambda,us-east-1,60.96,awslambda-509nwn61x,production,data
7/26/2025,AWSLambda,us-east-1,96.97,awslambda-v94r6loen,staging,platform
7/26/2025,AmazonDynamoDB,ap-southeast-1,48.11,amazondynamodb-5egvk0mou,development,engineering
7/26/2025,AmazonCloudFront,ap-southeast-1,28.65,amazoncloudfront-xpy5rng6q,development,engineering
7/26/2025,AmazonRDS,eu-west-1,50.35,amazonrds-63f5unzv8,staging,platform
7/26/2025,AmazonS3,us-west-2,26.88,amazons3-wh7rsp11p,production,data
7/26/2025,AmazonEC2,eu-west-1,71.32,amazonec2-ckjpv30yk,production,engineering
7/26/2025,AmazonCloudFront,us-west-2,27.29,amazoncloudfront-elmhn89tk,staging,platform
7/26/2025,AmazonCloudFront,us-east-1,43.47,amazoncloudfront-33b77ywst,development,platform
7/26/2025,AmazonDynamoDB,eu-west-1,11.6,amazondynamodb-63my28571,staging,engineering
7/26/2025,AmazonCloudFront,us-west-2,44.41,amazoncloudfront-ka1kr6wca,development,platform
7/26/2025,AmazonCloudFront,us-west-2,81.67,amazoncloudfront-778j8ujhm,staging,engineering
7/26/2025,AmazonS3,us-west-2,73.91,amazons3-l50z7uq8t,development,engineering
7/26/2025,AmazonEC2,ap-southeast-1,86.83,amazonec2-csu22p9yo,production,platform
7/27/2025,AmazonS3,us-east-1,49.96,amazons3-irp76d7xe,staging,data
7/27/2025,AmazonCloudFront,us-east-1,51.14,amazoncloudfront-7q6mhsakn,production,engineering
7/27/2025,AmazonDynamoDB,us-west-2,96.94,amazondynamodb-rbuql6s01,development,engineering
7/27/2025,AWSLambda,ap-southeast-1,35.56,awslambda-j5kelajf8,staging,platform
7/27/2025,AmazonDynamoDB,eu-west-1,88.71,amazondynamodb-p8nuzxnew,production,data
